clique,erdos-renyi,lattice (d=100),lattice (d=50),"watts-strogatz (d=50, p=3%)","watts-strogatz (d=50, p=5%)"
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.8867568536442708e-06,0.0
0.0,5.923819678928974e-06,0.0,0.0,1.0276722454785306e-05,0.0
0.0,5.923819678928974e-06,0.0,0.0,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,0.0,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,0.0,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,0.0,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.0276722454785306e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.7763994093000343e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.7763994093000343e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.7763994093000343e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.7763994093000343e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,1.7763994093000343e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,2.4252865678231672e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,2.4252865678231672e-05,0.0
0.0,1.2689261800571624e-05,0.0,2.4662128834961034e-06,2.4252865678231672e-05,0.0
0.0,1.2689261800571624e-05,0.0,3.3284974201475078e-06,2.4252865678231672e-05,0.0
0.0,1.2689261800571624e-05,0.0,3.3284974201475078e-06,2.9826069713231392e-05,0.0
0.0,1.2689261800571624e-05,0.0,3.3284974201475078e-06,2.9826069713231392e-05,0.0
0.0,3.052723037073916e-05,0.0,3.3284974201475078e-06,4.1316360417586206e-05,0.0
0.0,3.6916598462234905e-05,0.0,3.3284974201475078e-06,4.1316360417586206e-05,7.442137381856069e-06
0.0,4.371377083852638e-05,0.0,3.3284974201475078e-06,4.1316360417586206e-05,7.442137381856069e-06
0.0,4.371377083852638e-05,1.5730690577316343e-05,3.3284974201475078e-06,4.1316360417586206e-05,7.442137381856069e-06
0.0,4.371377083852638e-05,1.5730690577316343e-05,8.008830659874176e-06,4.1316360417586206e-05,7.442137381856069e-06
0.0,4.935966063075764e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,7.442137381856069e-06
0.0,4.935966063075764e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,7.442137381856069e-06
0.0,4.935966063075764e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,7.442137381856069e-06
0.0,5.534732604001457e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,1.878000586258169e-05
0.0,6.191935548270648e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,1.878000586258169e-05
0.0,6.191935548270648e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,1.878000586258169e-05
0.0,6.756524527493772e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,1.878000586258169e-05
0.0,6.756524527493772e-05,1.5730690577316343e-05,1.115348474792449e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,7.449957715206137e-05,1.5730690577316343e-05,1.8910834837134017e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,8.323667111367593e-05,1.5730690577316343e-05,1.8910834837134017e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,9.464167537992689e-05,1.5730690577316343e-05,1.8910834837134017e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,0.00010081451488609973,1.5730690577316343e-05,1.8910834837134017e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,0.00011419933593317435,1.5730690577316343e-05,1.8910834837134017e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,0.00011419933593317435,1.5730690577316343e-05,2.2893408000711516e-05,4.1316360417586206e-05,2.5678460608718556e-05
1.986491855383393e-05,0.00011419933593317435,1.5730690577316343e-05,2.2893408000711516e-05,4.1316360417586206e-05,2.5678460608718556e-05
3.345926330641685e-05,0.00012322206344340868,1.5730690577316343e-05,2.2893408000711516e-05,4.1316360417586206e-05,2.5678460608718556e-05
3.345926330641685e-05,0.00013659126526239206,3.3128046179264845e-05,2.2893408000711516e-05,4.771431307273656e-05,2.5678460608718556e-05
3.345926330641685e-05,0.00013659126526239206,3.3128046179264845e-05,2.2893408000711516e-05,4.771431307273656e-05,2.5678460608718556e-05
3.345926330641685e-05,0.00014875612416579033,3.3128046179264845e-05,2.2893408000711516e-05,4.771431307273656e-05,3.997229226294014e-05
3.345926330641685e-05,0.00016238497197077406,3.3128046179264845e-05,2.5914921174508956e-05,4.771431307273656e-05,3.997229226294014e-05
3.345926330641685e-05,0.0001741676984936915,3.3128046179264845e-05,2.5914921174508956e-05,4.771431307273656e-05,3.997229226294014e-05
3.345926330641685e-05,0.00017906893850741499,3.3128046179264845e-05,2.5914921174508956e-05,4.771431307273656e-05,3.997229226294014e-05
3.345926330641685e-05,0.000198468848004069,4.488583571483216e-05,2.986697400332615e-05,4.771431307273656e-05,3.997229226294014e-05
3.345926330641685e-05,0.000198468848004069,4.488583571483216e-05,2.986697400332615e-05,5.7877296128981635e-05,4.9837143796924554e-05
3.345926330641685e-05,0.000198468848004069,4.488583571483216e-05,3.114617169053673e-05,6.536456776719667e-05,4.9837143796924554e-05
3.345926330641685e-05,0.00020844888792422866,4.488583571483216e-05,3.114617169053673e-05,7.216728885563204e-05,4.9837143796924554e-05
3.345926330641685e-05,0.00021483825601572443,4.488583571483216e-05,3.114617169053673e-05,7.216728885563204e-05,5.39549119665766e-05
3.345926330641685e-05,0.0002306003138601397,4.488583571483216e-05,3.114617169053673e-05,7.216728885563204e-05,5.39549119665766e-05
3.345926330641685e-05,0.00024607579866099146,4.488583571483216e-05,3.114617169053673e-05,7.216728885563204e-05,6.066722234380845e-05
3.345926330641685e-05,0.00026314932279128286,4.488583571483216e-05,3.306397465546012e-05,7.405404570927631e-05,6.066722234380845e-05
3.345926330641685e-05,0.00027748229090678923,4.488583571483216e-05,3.306397465546012e-05,7.405404570927631e-05,6.066722234380845e-05
3.345926330641685e-05,0.0002844777438623681,4.488583571483216e-05,3.306397465546012e-05,7.962724974427604e-05,6.066722234380845e-05
3.345926330641685e-05,0.0002916238803079694,4.488583571483216e-05,3.306397465546012e-05,8.314565098275328e-05,6.066722234380845e-05
3.345926330641685e-05,0.000300568146236966,4.488583571483216e-05,3.306397465546012e-05,8.314565098275328e-05,6.066722234380845e-05
3.345926330641685e-05,0.0003116864663100857,4.488583571483216e-05,3.72876610889793e-05,8.314565098275328e-05,6.066722234380845e-05
3.345926330641685e-05,0.00032270004262942374,4.488583571483216e-05,3.72876610889793e-05,9.153561658389433e-05,6.066722234380845e-05
3.345926330641685e-05,0.0003448980017845066,4.488583571483216e-05,4.469294787916255e-05,9.153561658389433e-05,7.110672542346185e-05
3.345926330641685e-05,0.0003552467602382921,4.488583571483216e-05,4.469294787916255e-05,9.153561658389433e-05,7.110672542346185e-05
3.345926330641685e-05,0.00036061444676539886,6.24574400023036e-05,4.469294787916255e-05,9.153561658389433e-05,7.110672542346185e-05
3.345926330641685e-05,0.0003738289631732338,6.24574400023036e-05,4.469294787916255e-05,9.153561658389433e-05,7.110672542346185e-05
3.345926330641685e-05,0.00037919664970034067,6.24574400023036e-05,4.469294787916255e-05,9.73804935492342e-05,7.110672542346185e-05
3.345926330641685e-05,0.00037919664970034067,6.24574400023036e-05,4.469294787916255e-05,0.00010625518293510568,8.853866403766649e-05
3.345926330641685e-05,0.00038576867914303254,6.24574400023036e-05,4.469294787916255e-05,0.00011081452274270157,8.853866403766649e-05
3.345926330641685e-05,0.00038576867914303254,6.24574400023036e-05,4.771446105295999e-05,0.00011081452274270157,8.853866403766649e-05
5.091127028721964e-05,0.00038576867914303254,6.24574400023036e-05,5.033500612633525e-05,0.00011081452274270157,8.853866403766649e-05
5.091127028721964e-05,0.0003880259645316242,6.24574400023036e-05,5.911849317069186e-05,0.00011081452274270157,8.853866403766649e-05
6.298856497321e-05,0.0004025239994233319,7.899183153669514e-05,5.9929483714542117e-05,0.00011081452274270157,9.853966413767648e-05
6.298856497321e-05,0.0004278064772045914,7.899183153669514e-05,5.9929483714542117e-05,0.00011606469337324703,9.853966413767648e-05
7.857945989057824e-05,0.00043458567861466536,8.973758696330164e-05,5.9929483714542117e-05,0.0001226601293315639,0.00010525197451490834
7.857945989057824e-05,0.0004543211326187723,8.973758696330164e-05,5.9929483714542117e-05,0.0001226601293315639,0.00011735118806602751
7.857945989057824e-05,0.00046010315054302787,8.973758696330164e-05,5.9929483714542117e-05,0.0001254828351773877,0.00012187280137765709
7.857945989057824e-05,0.0004850687924161452,8.973758696330164e-05,5.9929483714542117e-05,0.00012910602358318478,0.00012187280137765709
9.844437844441217e-05,0.0005035111318186105,8.973758696330164e-05,5.9929483714542117e-05,0.00014791265585099254,0.00012187280137765709
9.844437844441217e-05,0.0005255065561937391,8.973758696330164e-05,5.9929483714542117e-05,0.00014791265585099254,0.00013395885407284684
9.844437844441217e-05,0.0005354865961138989,8.973758696330164e-05,5.9929483714542117e-05,0.00014791265585099254,0.00014140099145470292
0.00011096629179277181,0.000539807743810727,8.973758696330164e-05,6.12086814017527e-05,0.00014791265585099254,0.00016053341143719101
0.00011096629179277181,0.0005569061878508111,9.840685441020236e-05,6.366925077750625e-05,0.00015329160265320867,0.00016053341143719101
0.00011096629179277181,0.0005696225376521904,9.840685441020236e-05,6.366925077750625e-05,0.00015329160265320867,0.00016053341143719101
0.00011096629179277181,0.0005839237252691783,0.00011390352262653586,6.366925077750625e-05,0.00015517835950685293,0.00016908041998419957
0.00012182759297665363,0.0005895696150614096,0.00011390352262653586,7.481000863502001e-05,0.00015517835950685293,0.00016908041998419957
0.00012182759297665363,0.0006041929858330602,0.00011390352262653586,7.883907339159267e-05,0.00016559502617351959,0.00016908041998419957
0.00012182759297665363,0.0006296440768165146,0.00011390352262653586,7.883907339159267e-05,0.00016559502617351959,0.00016908041998419957
0.00013535573150479216,0.0006567225354212117,0.00011390352262653586,7.883907339159267e-05,0.00016559502617351959,0.00016908041998419957
0.00013535573150479216,0.0006567225354212117,0.00011390352262653586,7.883907339159267e-05,0.0001719929788286699,0.00017908142008420954
0.00013535573150479216,0.0006882714643714015,0.00011390352262653586,7.883907339159267e-05,0.0001719929788286699,0.0001857937304614414
0.00013535573150479216,0.0007072879910902268,0.00011390352262653586,7.883907339159267e-05,0.00018900508145365346,0.0001857937304614414
0.00013535573150479216,0.0007072879910902268,0.00011390352262653586,8.139452672901473e-05,0.00018900508145365346,0.00019625945521288044
0.00014439650539503719,0.0007072879910902268,0.00011390352262653586,8.56182131625339e-05,0.00018900508145365346,0.00019625945521288044
0.00014439650539503719,0.0007279077868165505,0.00011390352262653586,8.56182131625339e-05,0.00019739504705479447,0.00019625945521288044
0.00014439650539503719,0.0007396342846508489,0.00011390352262653586,9.742321338068795e-05,0.00019739504705479447,0.00019625945521288044
0.00014439650539503719,0.000754515564584732,0.00011390352262653586,9.88843685699806e-05,0.00019739504705479447,0.00019625945521288044
0.00014439650539503719,0.0007744793961751703,0.00011390352262653586,9.88843685699806e-05,0.00020443928486826306,0.0002076243830455887
0.00014439650539503719,0.0007854467242429711,0.00011390352262653586,0.00010234397763415633,0.00020443928486826306,0.0002076243830455887
0.00014439650539503719,0.0008038457215661019,0.00011390352262653586,0.000106377844790535,0.0002226688489116774,0.0002197235965967079
0.00014439650539503719,0.0008107800534432255,0.00011390352262653586,0.00011379631526987698,0.0002226688489116774,0.0002197235965967079
0.00014439650539503719,0.0008177755063988045,0.00011390352262653586,0.00011379631526987698,0.0002226688489116774,0.0002197235965967079
