clique,erdos-renyi,lattice (d=100),lattice (d=50),"watts-strogatz (d=50, p=3%)","watts-strogatz (d=50, p=5%)"
2.0,2.0,2.0,2.0,2.0,2.0
3.966666666666667,4.0,4.0,4.0,3.933333333333333,3.933333333333333
5.966666666666667,5.933333333333334,5.966666666666667,5.966666666666667,5.866666666666666,5.933333333333334
7.933333333333334,7.933333333333334,7.833333333333333,7.9,7.866666666666666,7.933333333333334
9.866666666666667,9.866666666666667,9.8,9.833333333333334,9.8,9.933333333333334
11.866666666666667,11.833333333333334,11.733333333333333,11.8,11.733333333333333,11.766666666666667
13.833333333333334,13.833333333333334,13.733333333333333,13.8,13.733333333333333,13.666666666666666
15.766666666666667,15.833333333333334,15.633333333333333,15.6,15.666666666666666,15.633333333333333
17.666666666666668,17.666666666666668,17.6,17.533333333333335,17.6,17.633333333333333
19.6,19.666666666666668,19.5,19.466666666666665,19.533333333333335,19.566666666666666
21.5,21.466666666666665,21.433333333333334,21.4,21.466666666666665,21.5
23.333333333333332,23.4,23.4,23.333333333333332,23.3,23.5
25.166666666666668,25.4,25.3,25.166666666666668,25.166666666666668,25.466666666666665
26.966666666666665,27.3,27.266666666666666,27.033333333333335,27.066666666666666,27.366666666666667
28.8,29.133333333333333,29.166666666666668,28.933333333333334,28.933333333333334,29.2
30.766666666666666,31.066666666666666,31.133333333333333,30.8,30.766666666666666,31.033333333333335
32.6,32.9,33.03333333333333,32.7,32.53333333333333,32.833333333333336
34.46666666666667,34.833333333333336,34.9,34.46666666666667,34.36666666666667,34.63333333333333
36.36666666666667,36.7,36.666666666666664,36.266666666666666,36.1,36.46666666666667
38.2,38.6,38.43333333333333,37.93333333333333,37.96666666666667,38.233333333333334
39.86666666666667,40.5,40.1,39.766666666666666,39.733333333333334,40.13333333333333
41.766666666666666,42.43333333333333,41.86666666666667,41.56666666666667,41.56666666666667,41.833333333333336
43.46666666666667,44.0,43.6,43.4,43.266666666666666,43.53333333333333
45.333333333333336,45.8,45.333333333333336,45.266666666666666,45.06666666666667,45.266666666666666
47.2,47.56666666666667,47.13333333333333,47.03333333333333,46.8,46.93333333333333
48.93333333333333,49.43333333333333,48.8,48.8,48.56666666666667,48.666666666666664
50.7,51.166666666666664,50.4,50.5,50.266666666666666,50.5
52.3,52.766666666666666,52.233333333333334,52.233333333333334,52.03333333333333,52.233333333333334
54.06666666666667,54.733333333333334,53.96666666666667,53.93333333333333,53.766666666666666,54.03333333333333
55.8,56.53333333333333,55.6,55.666666666666664,55.733333333333334,55.93333333333333
57.63333333333333,58.2,57.46666666666667,57.43333333333333,57.46666666666667,57.766666666666666
59.333333333333336,59.9,59.03333333333333,59.166666666666664,59.1,59.266666666666666
60.96666666666667,61.6,60.8,60.86666666666667,60.86666666666667,61.1
62.666666666666664,63.3,62.63333333333333,62.666666666666664,62.46666666666667,62.666666666666664
64.4,64.93333333333334,64.46666666666667,64.43333333333334,64.03333333333333,64.33333333333333
65.86666666666666,66.56666666666666,66.26666666666667,66.1,65.66666666666667,66.0
67.53333333333333,68.23333333333333,67.9,67.9,67.46666666666667,67.66666666666667
69.23333333333333,69.83333333333333,69.66666666666667,69.53333333333333,69.23333333333333,69.4
71.0,71.36666666666666,71.23333333333333,71.16666666666667,70.93333333333334,71.1
72.7,73.0,72.93333333333334,72.8,72.63333333333334,72.66666666666667
74.3,74.6,74.56666666666666,74.43333333333334,74.36666666666666,74.2
75.83333333333333,76.23333333333333,76.1,76.33333333333333,76.03333333333333,75.86666666666666
77.43333333333334,77.8,77.83333333333333,78.06666666666666,77.66666666666667,77.6
79.03333333333333,79.33333333333333,79.5,79.8,79.26666666666667,79.23333333333333
80.66666666666667,81.13333333333334,81.13333333333334,81.43333333333334,80.93333333333334,80.8
82.26666666666667,82.6,82.7,83.0,82.53333333333333,82.2
83.86666666666666,84.06666666666666,84.3,84.7,84.26666666666667,83.86666666666666
85.56666666666666,85.56666666666666,86.03333333333333,86.16666666666667,85.93333333333334,85.56666666666666
87.33333333333333,87.06666666666666,87.66666666666667,87.96666666666667,87.5,87.1
89.06666666666666,88.6,89.16666666666667,89.56666666666666,89.3,88.6
90.66666666666667,90.2,90.9,90.96666666666667,90.86666666666666,90.0
92.23333333333333,91.9,92.43333333333334,92.56666666666666,92.43333333333334,91.56666666666666
93.66666666666667,93.5,94.06666666666666,93.96666666666667,94.1,93.23333333333333
95.26666666666667,95.0,95.7,95.7,95.43333333333334,94.73333333333333
96.8,96.33333333333333,97.26666666666667,97.2,97.13333333333334,96.26666666666667
98.3,97.76666666666667,98.7,98.63333333333334,98.83333333333333,97.73333333333333
99.83333333333333,99.16666666666667,100.1,100.13333333333334,100.3,99.26666666666667
101.43333333333334,100.53333333333333,101.73333333333333,101.63333333333334,101.86666666666666,101.03333333333333
102.86666666666666,102.1,103.23333333333333,103.36666666666666,103.4,102.56666666666666
104.56666666666666,103.33333333333333,105.0,104.96666666666667,104.9,104.16666666666667
106.06666666666666,104.83333333333333,106.6,106.46666666666667,106.43333333333334,105.73333333333333
107.53333333333333,106.43333333333334,108.1,107.83333333333333,107.93333333333334,107.46666666666667
109.16666666666667,107.8,109.46666666666667,109.3,109.4,108.86666666666666
110.76666666666667,109.16666666666667,110.9,110.63333333333334,111.1,110.36666666666666
112.33333333333333,110.53333333333333,112.36666666666666,112.13333333333334,112.5,111.73333333333333
